what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1301325994126
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1301325994126
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1301325994127
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1301325994127
started,bundle,com.google.appengine.eclipse.core,1.4.0.v201010280102,"com.google.appengine.eclipse.core",1301325994127
started,bundle,com.google.gdt.eclipse.core,1.4.0.v201010280102,"com.google.gdt.eclipse.core",1301325994128
started,bundle,com.google.gdt.eclipse.maven,1.4.0.v201010280102,"com.google.gdt.eclipse.maven",1301325994128
started,bundle,com.google.gdt.eclipse.platform.e36,1.4.0.v201010280102,"com.google.gdt.eclipse.platform.e36",1301325994128
started,bundle,com.google.gdt.eclipse.platform.shared,1.4.0.v201010280102,"com.google.gdt.eclipse.platform.shared",1301325994129
started,bundle,com.google.gdt.eclipse.suite,1.4.0.v201010280102,"com.google.gdt.eclipse.suite",1301325994129
started,bundle,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core",1301325994129
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1301325994129
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1301325994129
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1301325994129
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1301325994130
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1301325994132
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1301325994132
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1301325994132
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1301325994133
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1301325994133
started,bundle,com.industriallogic.eclipse.recorder,2.1.2.201102020914,"com.industriallogic.eclipse.recorder",1301325994133
started,bundle,com.industriallogic.eclipse.recordingarchiver,2.1.0.201102020914,"com.industriallogic.eclipse.recordingarchiver",1301325994134
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1301325994134
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1301325994135
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1301325994135
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1301325994136
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1301325994136
os,sysinfo,,,"win32",1301325994139
arch,sysinfo,,,"x86_64",1301325994139
ws,sysinfo,,,"win32",1301325994139
locale,sysinfo,,,"de_CH",1301325994139
processors,sysinfo,,,"2",1301325994139
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1301325994139
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1301325994139
java.specification.name,sysinfo,,,"Java Platform API Specification",1301325994139
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301325994139
java.specification.version,sysinfo,,,"1.6",1301325994139
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301325994139
java.version,sysinfo,,,"1.6.0_18",1301325994139
java.vm.info,sysinfo,,,"mixed mode",1301325994139
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1301325994139
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301325994139
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301325994139
java.vm.specification.version,sysinfo,,,"1.0",1301325994139
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1301325994139
java.vm.version,sysinfo,,,"16.0-b13",1301325994139
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1301325994555
